Colour,Lower Bound of Range,Upper Bound of Range,Spike Size,Occurences
White,1,0,0,0,165
White,1,0,0,1,2
White,1,0,0,2,1
White,1,0,0,3,1
White,1,0,0,4,7
White,1,0,0,5,20
White,1,0,0,6,0
White,1,0,0,7,5
White,1,0,0,8,0
White,1,0,0,9,2
White,1,0,0,10,2
White,1,0,0,11,2
White,1,0,0,12,8
White,1,0,0,13,5
White,1,0,0,14,9
White,1,0,0,15,8
White,1,0,0,16,6
White,1,0,0,17,3
White,1,0,0,18,2
White,1,0,0,19,2
White,1,0,0,20,5
White,1,0,0,21,2
White,1,0,0,22,1
White,1,0,0,23,7
White,1,0,0,24,2
White,1,0,0,25,2
White,1,0,0,26,0
White,1,0,0,27,0
White,1,0,0,28,1
White,1,0,0,29,2
White,1,0,0,30,0
White,1,0,0,31,2
White,1,0,0,32,2
White,1,0,0,33,0
White,1,0,0,34,3
White,1,0,0,35,6
White,1,0,0,36,1
White,1,0,0,37,1
White,1,0,0,38,2
White,1,0,0,39,0
White,1,0,0,40,0
White,1,0,0,41,4
White,1,0,0,42,2
White,1,0,0,43,0
White,1,0,0,44,0
White,1,0,0,45,1
White,1,0,0,46,1
White,1,0,0,47,2
White,1,0,0,48,3
White,1,0,0,49,0
White,1,0,0,50,1
White,1,0,0,51,2
White,1,0,0,52,0
White,1,0,0,53,2
White,1,0,0,54,3
White,1,0,0,55,2
White,1,0,0,56,0
White,1,0,0,57,0
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,169
White,1,0,0,1,23
White,1,0,0,2,58
White,1,0,0,3,15
White,1,0,0,4,16
White,1,0,0,5,1
White,1,0,0,6,18
White,1,0,0,7,2
White,1,0,0,8,0
White,1,0,0,9,0
White,1,0,0,10,0
White,1,0,0,11,0
White,1,0,0,12,0
White,1,0,0,13,0
White,1,0,0,14,0
White,1,0,0,15,0
White,1,0,0,16,0
White,1,0,0,17,0
White,1,0,0,18,1
White,1,0,0,19,0
White,1,0,0,20,0
White,1,0,0,21,0
White,1,0,0,22,0
White,1,0,0,23,0
White,1,0,0,24,0
White,1,0,0,25,0
White,1,0,0,26,0
White,1,0,0,27,0
White,1,0,0,28,0
White,1,0,0,29,0
White,1,0,0,30,0
White,1,0,0,31,0
White,1,0,0,32,0
White,1,0,0,33,0
White,1,0,0,34,0
White,1,0,0,35,0
White,1,0,0,36,0
White,1,0,0,37,0
White,1,0,0,38,0
White,1,0,0,39,0
White,1,0,0,40,0
White,1,0,0,41,0
White,1,0,0,42,0
White,1,0,0,43,0
White,1,0,0,44,0
White,1,0,0,45,0
White,1,0,0,46,0
White,1,0,0,47,0
White,1,0,0,48,0
White,1,0,0,49,0
White,1,0,0,50,1
White,1,0,0,51,2
White,1,0,0,52,1
White,1,0,0,53,0
White,1,0,0,54,1
White,1,0,0,55,2
White,1,0,0,56,1
White,1,0,0,57,0
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,231
White,1,0,0,1,12
White,1,0,0,2,3
White,1,0,0,3,5
White,1,0,0,4,6
White,1,0,0,5,4
White,1,0,0,6,3
White,1,0,0,7,18
White,1,0,0,8,29
White,1,0,0,9,0
White,1,0,0,10,0
White,1,0,0,11,0
White,1,0,0,12,0
White,1,0,0,13,0
White,1,0,0,14,0
White,1,0,0,15,0
White,1,0,0,16,0
White,1,0,0,17,0
White,1,0,0,18,0
White,1,0,0,19,0
White,1,0,0,20,0
White,1,0,0,21,0
White,1,0,0,22,0
White,1,0,0,23,0
White,1,0,0,24,0
White,1,0,0,25,0
White,1,0,0,26,0
White,1,0,0,27,0
White,1,0,0,28,0
White,1,0,0,29,0
White,1,0,0,30,0
White,1,0,0,31,0
White,1,0,0,32,0
White,1,0,0,33,0
White,1,0,0,34,0
White,1,0,0,35,0
White,1,0,0,36,0
White,1,0,0,37,0
White,1,0,0,38,0
White,1,0,0,39,0
White,1,0,0,40,0
White,1,0,0,41,0
White,1,0,0,42,0
White,1,0,0,43,0
White,1,0,0,44,1
White,1,0,0,45,0
White,1,0,0,46,0
White,1,0,0,47,0
White,1,0,0,48,0
White,1,0,0,49,0
White,1,0,0,50,0
White,1,0,0,51,0
White,1,0,0,52,0
White,1,0,0,53,0
White,1,0,0,54,0
White,1,0,0,55,0
White,1,0,0,56,0
White,1,0,0,57,0
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,185
White,1,0,0,1,28
White,1,0,0,2,6
White,1,0,0,3,26
White,1,0,0,4,1
White,1,0,0,5,7
White,1,0,0,6,0
White,1,0,0,7,15
White,1,0,0,8,4
White,1,0,0,9,1
White,1,0,0,10,0
White,1,0,0,11,0
White,1,0,0,12,0
White,1,0,0,13,0
White,1,0,0,14,0
White,1,0,0,15,1
White,1,0,0,16,4
White,1,0,0,17,0
White,1,0,0,18,3
White,1,0,0,19,3
White,1,0,0,20,0
White,1,0,0,21,0
White,1,0,0,22,0
White,1,0,0,23,0
White,1,0,0,24,1
White,1,0,0,25,0
White,1,0,0,26,0
White,1,0,0,27,0
White,1,0,0,28,1
White,1,0,0,29,3
White,1,0,0,30,3
White,1,0,0,31,0
White,1,0,0,32,1
White,1,0,0,33,0
White,1,0,0,34,0
White,1,0,0,35,1
White,1,0,0,36,1
White,1,0,0,37,4
White,1,0,0,38,0
