Colour,Lower Bound of Range,Upper Bound of Range,Spike Size,Occurences
White,1,0,0,0,19
White,1,0,0,1,0
White,1,0,0,2,0
White,1,0,0,3,0
White,1,0,0,4,0
White,1,0,0,5,0
White,1,0,0,6,0
White,1,0,0,7,0
White,1,0,0,8,0
White,1,0,0,9,0
White,1,0,0,10,0
White,1,0,0,11,0
White,1,0,0,12,0
White,1,0,0,13,0
White,1,0,0,14,0
White,1,0,0,15,0
White,1,0,0,16,0
White,1,0,0,17,0
White,1,0,0,18,0
White,1,0,0,19,0
White,1,0,0,20,0
White,1,0,0,21,0
White,1,0,0,22,0
White,1,0,0,23,0
White,1,0,0,24,0
White,1,0,0,25,0
White,1,0,0,26,0
White,1,0,0,27,0
White,1,0,0,28,0
White,1,0,0,29,0
White,1,0,0,30,0
White,1,0,0,31,0
White,1,0,0,32,1
White,1,0,0,33,0
White,1,0,0,34,0
White,1,0,0,35,0
White,1,0,0,36,1
White,1,0,0,37,5
White,1,0,0,38,1
White,1,0,0,39,1
White,1,0,0,40,8
White,1,0,0,41,24
White,1,0,0,42,17
White,1,0,0,43,22
White,1,0,0,44,19
White,1,0,0,45,22
White,1,0,0,46,11
White,1,0,0,47,21
White,1,0,0,48,9
White,1,0,0,49,27
White,1,0,0,50,22
White,1,0,0,51,54
White,1,0,0,52,62
White,1,0,0,53,76
White,1,0,0,54,49
White,1,0,0,55,58
White,1,0,0,56,17
White,1,0,0,57,26
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,71
White,1,0,0,1,2
White,1,0,0,2,3
White,1,0,0,3,2
White,1,0,0,4,5
White,1,0,0,5,6
White,1,0,0,6,2
White,1,0,0,7,2
White,1,0,0,8,2
White,1,0,0,9,2
White,1,0,0,10,3
White,1,0,0,11,2
White,1,0,0,12,2
White,1,0,0,13,2
White,1,0,0,14,1
White,1,0,0,15,2
White,1,0,0,16,3
White,1,0,0,17,2
White,1,0,0,18,2
White,1,0,0,19,2
White,1,0,0,20,3
White,1,0,0,21,4
White,1,0,0,22,3
White,1,0,0,23,13
White,1,0,0,24,4
White,1,0,0,25,2
White,1,0,0,26,4
White,1,0,0,27,3
White,1,0,0,28,2
White,1,0,0,29,3
White,1,0,0,30,3
White,1,0,0,31,2
White,1,0,0,32,3
White,1,0,0,33,3
White,1,0,0,34,3
White,1,0,0,35,9
White,1,0,0,36,0
White,1,0,0,37,0
White,1,0,0,38,0
White,1,0,0,39,0
White,1,0,0,40,0
White,1,0,0,41,3
White,1,0,0,42,12
White,1,0,0,43,16
White,1,0,0,44,17
White,1,0,0,45,7
White,1,0,0,46,6
White,1,0,0,47,3
White,1,0,0,48,19
White,1,0,0,49,14
White,1,0,0,50,27
White,1,0,0,51,8
White,1,0,0,52,19
White,1,0,0,53,41
White,1,0,0,54,60
White,1,0,0,55,54
White,1,0,0,56,71
White,1,0,0,57,13
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,11
White,1,0,0,1,1
White,1,0,0,2,1
White,1,0,0,3,1
White,1,0,0,4,1
White,1,0,0,5,11
White,1,0,0,6,1
White,1,0,0,7,1
White,1,0,0,8,2
White,1,0,0,9,1
White,1,0,0,10,2
White,1,0,0,11,1
White,1,0,0,12,4
White,1,0,0,13,2
White,1,0,0,14,3
White,1,0,0,15,4
White,1,0,0,16,1
White,1,0,0,17,1
White,1,0,0,18,2
White,1,0,0,19,2
White,1,0,0,20,1
White,1,0,0,21,1
White,1,0,0,22,2
White,1,0,0,23,1
White,1,0,0,24,1
