line,epoch,date,time,activity,marker,sleep/wake,intervalstatus,s/wstatus,
1,1920,27/06/2013,16:00:00,0,0,nan,active,nan,
2,1921,27/06/2013,16:00:30,0,0,nan,active,nan,
3,1922,27/06/2013,16:01:00,0,0,nan,active,nan,
4,1923,27/06/2013,16:01:30,0,0,nan,active,nan,
5,1924,27/06/2013,16:02:00,0,0,0,active,nan,
6,1925,27/06/2013,16:02:30,0,0,0,active,nan,
7,1926,27/06/2013,16:03:00,0,0,0,active,nan,
8,1927,27/06/2013,16:03:30,0,0,0,active,nan,
9,1928,27/06/2013,16:04:00,0,0,0,active,nan,
10,1929,27/06/2013,16:04:30,0,0,0,active,nan,
11,1930,27/06/2013,16:05:00,0,0,0,active,nan,
12,1931,27/06/2013,16:05:30,0,0,0,active,nan,
13,1932,27/06/2013,16:06:00,0,0,0,active,nan,
14,1933,27/06/2013,16:06:30,0,0,0,active,nan,
15,1934,27/06/2013,16:07:00,0,0,0,active,nan,
16,1935,27/06/2013,16:07:30,0,0,0,active,nan,
17,1936,27/06/2013,16:08:00,0,0,0,active,nan,
18,1937,27/06/2013,16:08:30,0,0,0,active,nan,
19,1938,27/06/2013,16:09:00,0,0,0,active,nan,
20,1939,27/06/2013,16:09:30,0,0,0,active,nan,
21,1940,27/06/2013,16:10:00,0,0,0,active,nan,
22,1941,27/06/2013,16:10:30,0,0,0,active,nan,
23,1942,27/06/2013,16:11:00,0,0,0,active,nan,
24,1943,27/06/2013,16:11:30,141,0,1,active,nan,
25,1944,27/06/2013,16:12:00,0,0,0,active,nan,
26,1945,27/06/2013,16:12:30,1,0,1,active,nan,
27,1946,27/06/2013,16:13:00,0,0,1,active,nan,
28,1947,27/06/2013,16:13:30,40,0,1,active,nan,
29,1948,27/06/2013,16:14:00,250,0,1,active,nan,
30,1949,27/06/2013,16:14:30,122,0,1,active,nan,
31,1950,27/06/2013,16:15:00,118,0,1,active,nan,
32,1951,27/06/2013,16:15:30,9,0,1,active,nan,
33,1952,27/06/2013,16:16:00,20,0,1,active,nan,
34,1953,27/06/2013,16:16:30,28,0,1,active,nan,
35,1954,27/06/2013,16:17:00,30,0,1,active,nan,
36,1955,27/06/2013,16:17:30,40,0,1,active,nan,
37,1956,27/06/2013,16:18:00,29,0,1,active,nan,
38,1957,27/06/2013,16:18:30,21,0,1,active,nan,
39,1958,27/06/2013,16:19:00,0,0,0,active,nan,
40,1959,27/06/2013,16:19:30,35,0,1,active,nan,
41,1960,27/06/2013,16:20:00,31,0,1,active,nan,
42,1961,27/06/2013,16:20:30,29,0,1,active,nan,
43,1962,27/06/2013,16:21:00,0,0,0,active,nan,
44,1963,27/06/2013,16:21:30,0,0,0,active,nan,
45,1964,27/06/2013,16:22:00,6,0,0,active,nan,
46,1965,27/06/2013,16:22:30,0,0,0,active,nan,
47,1966,27/06/2013,16:23:00,0,0,0,active,nan,
48,1967,27/06/2013,16:23:30,0,0,0,active,nan,
49,1968,27/06/2013,16:24:00,0,0,0,active,nan,
50,1969,27/06/2013,16:24:30,0,0,0,active,nan,
51,1970,27/06/2013,16:25:00,0,0,0,active,nan,
52,1971,27/06/2013,16:25:30,0,0,0,active,nan,
53,1972,27/06/2013,16:26:00,0,0,0,active,nan,
54,1973,27/06/2013,16:26:30,0,0,0,active,nan,
55,1974,27/06/2013,16:27:00,0,0,0,active,nan,
56,1975,27/06/2013,16:27:30,0,0,0,active,nan,
57,1976,27/06/2013,16:28:00,0,0,0,active,nan,
58,1977,27/06/2013,16:28:30,0,0,0,active,nan,
59,1978,27/06/2013,16:29:00,0,0,0,active,nan,
60,1979,27/06/2013,16:29:30,0,0,0,active,nan,
61,1980,27/06/2013,16:30:00,0,0,0,active,nan,
62,1981,27/06/2013,16:30:30,0,0,0,active,nan,
63,1982,27/06/2013,16:31:00,0,0,0,active,nan,
64,1983,27/06/2013,16:31:30,0,0,0,active,nan,
65,1984,27/06/2013,16:32:00,0,0,0,active,nan,
66,1985,27/06/2013,16:32:30,0,0,0,active,nan,
67,1986,27/06/2013,16:33:00,0,0,0,active,nan,
68,1987,27/06/2013,16:33:30,0,0,0,active,nan,
69,1988,27/06/2013,16:34:00,0,0,0,active,nan,
70,1989,27/06/2013,16:34:30,0,0,0,active,nan,
71,1990,27/06/2013,16:35:00,0,0,0,active,nan,
72,1991,27/06/2013,16:35:30,0,0,0,active,nan,
73,1992,27/06/2013,16:36:00,0,0,0,active,nan,
74,1993,27/06/2013,16:36:30,0,0,0,active,nan,
75,1994,27/06/2013,16:37:00,0,0,0,active,nan,
76,1995,27/06/2013,16:37:30,0,0,0,active,nan,
77,1996,27/06/2013,16:38:00,0,0,0,active,nan,
78,1997,27/06/2013,16:38:30,0,0,0,active,nan,
79,1998,27/06/2013,16:39:00,0,0,0,active,nan,
80,1999,27/06/2013,16:39:30,0,0,0,active,nan,
81,2000,27/06/2013,16:40:00,0,0,0,active,nan,
82,2001,27/06/2013,16:40:30,0,0,0,active,nan,
83,2002,27/06/2013,16:41:00,0,0,0,active,nan,
84,2003,27/06/2013,16:41:30,0,0,0,active,nan,
85,2004,27/06/2013,16:42:00,0,0,0,active,nan,
86,2005,27/06/2013,16:42:30,0,0,0,active,nan,
87,2006,27/06/2013,16:43:00,0,0,0,active,nan,
88,2007,27/06/2013,16:43:30,0,0,0,active,nan,
89,2008,27/06/2013,16:44:00,0,0,0,active,nan,
90,2009,27/06/2013,16:44:30,0,0,0,active,nan,
91,2010,27/06/2013,16:45:00,0,0,0,active,nan,
92,2011,27/06/2013,16:45:30,0,0,0,active,nan,
93,2012,27/06/2013,16:46:00,0,0,0,active,nan,
94,2013,27/06/2013,16:46:30,0,0,0,active,nan,
95,2014,27/06/2013,16:47:00,0,0,0,active,nan,
96,2015,27/06/2013,16:47:30,0,0,0,active,nan,
97,2016,27/06/2013,16:48:00,0,0,0,active,nan,
98,2017,27/06/2013,16:48:30,0,0,0,active,nan,
99,2018,27/06/2013,16:49:00,0,0,0,active,nan,
100,2019,27/06/2013,16:49:30,0,0,0,active,nan,
101,2020,27/06/2013,16:50:00,0,0,0,active,nan,
102,2021,27/06/2013,16:50:30,0,0,0,active,nan,
103,2022,27/06/2013,16:51:00,0,0,0,active,nan,
104,2023,27/06/2013,16:51:30,0,0,0,active,nan,
105,2024,27/06/2013,16:52:00,0,0,0,active,nan,
106,2025,27/06/2013,16:52:30,0,0,0,active,nan,
107,2026,27/06/2013,16:53:00,0,0,0,active,nan,
108,2027,27/06/2013,16:53:30,0,0,0,active,nan,
109,2028,27/06/2013,16:54:00,0,0,0,active,nan,
110,2029,27/06/2013,16:54:30,0,0,0,active,nan,
111,2030,27/06/2013,16:55:00,0,0,0,active,nan,
112,2031,27/06/2013,16:55:30,0,0,0,active,nan,
113,2032,27/06/2013,16:56:00,0,0,0,active,nan,
114,2033,27/06/2013,16:56:30,0,0,0,active,nan,
115,2034,27/06/2013,16:57:00,0,0,0,active,nan,
116,2035,27/06/2013,16:57:30,0,0,0,active,nan,
117,2036,27/06/2013,16:58:00,0,0,0,active,nan,
118,2037,27/06/2013,16:58:30,0,0,0,active,nan,
119,2038,27/06/2013,16:59:00,0,0,0,active,nan,
120,2039,27/06/2013,16:59:30,0,0,0,active,nan,
121,2040,27/06/2013,17:00:00,0,0,0,active,nan,
122,2041,27/06/2013,17:00:30,0,0,0,active,nan,
123,2042,27/06/2013,17:01:00,0,0,0,active,nan,
124,2043,27/06/2013,17:01:30,0,0,0,active,nan,
125,2044,27/06/2013,17:02:00,0,0,0,active,nan,
126,2045,27/06/2013,17:02:30,0,0,0,active,nan,
127,2046,27/06/2013,17:03:00,0,0,0,active,nan,
128,2047,27/06/2013,17:03:30,0,0,0,active,nan,
129,2048,27/06/2013,17:04:00,0,0,0,active,nan,
130,2049,27/06/2013,17:04:30,0,0,0,active,nan,
131,2050,27/06/2013,17:05:00,0,0,0,active,nan,
132,2051,27/06/2013,17:05:30,0,0,0,active,nan,
133,2052,27/06/2013,17:06:00,0,0,0,active,nan,
134,2053,27/06/2013,17:06:30,0,0,0,active,nan,
135,2054,27/06/2013,17:07:00,0,0,0,active,nan,
136,2055,27/06/2013,17:07:30,0,0,0,active,nan,
137,2056,27/06/2013,17:08:00,0,0,0,active,nan,
138,2057,27/06/2013,17:08:30,0,0,0,active,nan,
139,2058,27/06/2013,17:09:00,0,0,0,active,nan,
140,2059,27/06/2013,17:09:30,0,0,0,active,nan,
141,2060,27/06/2013,17:10:00,0,0,0,active,nan,
142,2061,27/06/2013,17:10:30,0,0,0,active,nan,
143,2062,27/06/2013,17:11:00,0,0,0,active,nan,
144,2063,27/06/2013,17:11:30,0,0,0,active,nan,
145,2064,27/06/2013,17:12:00,0,0,0,active,nan,
146,2065,27/06/2013,17:12:30,0,0,0,active,nan,
147,2066,27/06/2013,17:13:00,0,0,0,active,nan,
148,2067,27/06/2013,17:13:30,0,0,0,active,nan,
149,2068,27/06/2013,17:14:00,0,0,0,active,nan,
150,2069,27/06/2013,17:14:30,0,0,0,active,nan,
151,2070,27/06/2013,17:15:00,0,0,0,active,nan,
152,2071,27/06/2013,17:15:30,0,0,0,active,nan,
153,2072,27/06/2013,17:16:00,0,0,0,active,nan,
154,2073,27/06/2013,17:16:30,0,0,0,active,nan,
155,2074,27/06/2013,17:17:00,0,0,0,active,nan,
156,2075,27/06/2013,17:17:30,0,0,0,active,nan,
157,2076,27/06/2013,17:18:00,0,0,0,active,nan,
158,2077,27/06/2013,17:18:30,0,0,0,active,nan,
159,2078,27/06/2013,17:19:00,0,0,0,active,nan,
160,2079,27/06/2013,17:19:30,0,0,0,active,nan,
161,2080,27/06/2013,17:20:00,0,0,0,active,nan,
162,2081,27/06/2013,17:20:30,0,0,0,active,nan,
163,2082,27/06/2013,17:21:00,0,0,0,active,nan,
164,2083,27/06/2013,17:21:30,0,0,0,active,nan,
165,2084,27/06/2013,17:22:00,0,0,1,active,nan,
166,2085,27/06/2013,17:22:30,0,0,1,active,nan,
167,2086,27/06/2013,17:23:00,0,0,1,active,nan,
168,2087,27/06/2013,17:23:30,702,0,1,active,nan,
169,2088,27/06/2013,17:24:00,526,0,1,active,nan,
170,2089,27/06/2013,17:24:30,150,0,1,active,nan,
171,2090,27/06/2013,17:25:00,1161,0,1,active,nan,
172,2091,27/06/2013,17:25:30,848,0,1,active,nan,
173,2092,27/06/2013,17:26:00,276,0,1,active,nan,
174,2093,27/06/2013,17:26:30,526,0,1,active,nan,
175,2094,27/06/2013,17:27:00,638,0,1,active,nan,
176,2095,27/06/2013,17:27:30,276,0,1,active,nan,
177,2096,27/06/2013,17:28:00,136,0,1,active,nan,
178,2097,27/06/2013,17:28:30,212,0,1,active,nan,
179,2098,27/06/2013,17:29:00,314,0,1,active,nan,
180,2099,27/06/2013,17:29:30,358,0,1,active,nan,
181,2100,27/06/2013,17:30:00,205,0,1,active,nan,
182,2101,27/06/2013,17:30:30,185,0,1,active,nan,
183,2102,27/06/2013,17:31:00,127,0,1,active,nan,
184,2103,27/06/2013,17:31:30,191,0,1,active,nan,
185,2104,27/06/2013,17:32:00,85,0,1,active,nan,
186,2105,27/06/2013,17:32:30,141,0,1,active,nan,
187,2106,27/06/2013,17:33:00,234,0,1,active,nan,
188,2107,27/06/2013,17:33:30,205,0,1,active,nan,
189,2108,27/06/2013,17:34:00,285,0,1,active,nan,
190,2109,27/06/2013,17:34:30,198,0,1,active,nan,
191,2110,27/06/2013,17:35:00,127,0,1,active,nan,
192,2111,27/06/2013,17:35:30,141,0,1,active,nan,
193,2112,27/06/2013,17:36:00,212,0,1,active,nan,
194,2113,27/06/2013,17:36:30,659,0,1,active,nan,
195,2114,27/06/2013,17:37:00,335,0,1,active,nan,
196,2115,27/06/2013,17:37:30,796,0,1,active,nan,
197,2116,27/06/2013,17:38:00,434,0,1,active,nan,
198,2117,27/06/2013,17:38:30,234,0,1,active,nan,
199,2118,27/06/2013,17:39:00,226,0,1,active,nan,
200,2119,27/06/2013,17:39:30,198,0,1,active,nan,
201,2120,27/06/2013,17:40:00,131,0,1,active,nan,
202,2121,27/06/2013,17:40:30,72,0,1,active,nan,
203,2122,27/06/2013,17:41:00,173,0,1,active,nan,
204,2123,27/06/2013,17:41:30,92,0,1,active,nan,
205,2124,27/06/2013,17:42:00,205,0,1,active,nan,
206,2125,27/06/2013,17:42:30,276,0,1,active,nan,
207,2126,27/06/2013,17:43:00,212,0,1,active,nan,
208,2127,27/06/2013,17:43:30,118,0,1,active,nan,
209,2128,27/06/2013,17:44:00,44,0,1,active,nan,
210,2129,27/06/2013,17:44:30,61,0,1,active,nan,
211,2130,27/06/2013,17:45:00,0,0,1,active,nan,
212,2131,27/06/2013,17:45:30,141,0,1,active,nan,
213,2132,27/06/2013,17:46:00,168,0,1,active,nan,
214,2133,27/06/2013,17:46:30,276,0,1,active,nan,
215,2134,27/06/2013,17:47:00,141,0,1,active,nan,
216,2135,27/06/2013,17:47:30,99,0,1,active,nan,
217,2136,27/06/2013,17:48:00,212,0,1,active,nan,
218,2137,27/06/2013,17:48:30,40,0,1,active,nan,
219,2138,27/06/2013,17:49:00,51,0,1,active,nan,
220,2139,27/06/2013,17:49:30,85,0,1,active,nan,
221,2140,27/06/2013,17:50:00,276,0,1,active,nan,
222,2141,27/06/2013,17:50:30,198,0,1,active,nan,
223,2142,27/06/2013,17:51:00,448,0,1,active,nan,
224,2143,27/06/2013,17:51:30,903,0,1,active,nan,
225,2144,27/06/2013,17:52:00,747,0,1,active,nan,
226,2145,27/06/2013,17:52:30,1057,0,1,active,nan,
227,2146,27/06/2013,17:53:00,1090,0,1,active,nan,
228,2147,27/06/2013,17:53:30,1588,0,1,active,nan,
229,2148,27/06/2013,17:54:00,1024,0,1,active,nan,
230,2149,27/06/2013,17:54:30,370,0,1,active,nan,
231,2150,27/06/2013,17:55:00,109,0,1,active,nan,
232,2151,27/06/2013,17:55:30,102,0,1,active,nan,
