line,epoch,date,time,activity,marker,sleep/wake,interval status,s/w status,sleepindex,movingaverage
1,1920,27/06/2013,16:00:00,0,0,nan,active,nan,0,0.0
2,1921,27/06/2013,16:00:30,0,0,nan,active,nan,0,0.0
3,1922,27/06/2013,16:01:00,0,0,nan,active,nan,0,0.0
4,1923,27/06/2013,16:01:30,0,0,nan,active,nan,0,0.0
5,1924,27/06/2013,16:02:00,0,0,0,active,nan,0,0.0
6,1925,27/06/2013,16:02:30,0,0,0,active,nan,0,0.0
7,1926,27/06/2013,16:03:00,0,0,0,active,nan,0,0.0
8,1927,27/06/2013,16:03:30,0,0,0,active,nan,0,0.0
9,1928,27/06/2013,16:04:00,0,0,0,active,nan,0,0.0
10,1929,27/06/2013,16:04:30,0,0,0,active,nan,0,0.0
11,1930,27/06/2013,16:05:00,0,0,0,active,nan,0,0.0
12,1931,27/06/2013,16:05:30,0,0,0,active,nan,0,0.0
13,1932,27/06/2013,16:06:00,0,0,0,active,nan,0,0.0
14,1933,27/06/2013,16:06:30,0,0,0,active,nan,0,6.714285714285714
15,1934,27/06/2013,16:07:00,0,0,0,active,nan,0,6.714285714285714
16,1935,27/06/2013,16:07:30,0,0,0,active,nan,0,6.761904761904762
17,1936,27/06/2013,16:08:00,0,0,0,active,nan,0,6.761904761904762
18,1937,27/06/2013,16:08:30,0,0,0,active,nan,0,8.666666666666666
19,1938,27/06/2013,16:09:00,0,0,0,active,nan,0,20.571428571428573
20,1939,27/06/2013,16:09:30,0,0,0,active,nan,0,26.38095238095238
21,1940,27/06/2013,16:10:00,0,0,0,active,nan,0,32.0
22,1941,27/06/2013,16:10:30,0,0,0,active,nan,0,32.42857142857143
23,1942,27/06/2013,16:11:00,0,0,0,active,nan,0,33.38095238095238
24,1943,27/06/2013,16:11:30,141,0,1,active,nan,0,34.714285714285715
25,1944,27/06/2013,16:12:00,0,0,0,active,nan,0,36.142857142857146
26,1945,27/06/2013,16:12:30,1,0,1,active,nan,0,38.04761904761905
27,1946,27/06/2013,16:13:00,0,0,1,active,nan,0,39.42857142857143
28,1947,27/06/2013,16:13:30,40,0,1,active,nan,0,40.42857142857143
29,1948,27/06/2013,16:14:00,250,0,1,active,nan,0,40.42857142857143
30,1949,27/06/2013,16:14:30,122,0,1,active,nan,0,42.095238095238095
31,1950,27/06/2013,16:15:00,118,0,1,active,nan,0,43.57142857142857
32,1951,27/06/2013,16:15:30,9,0,1,active,nan,0,44.95238095238095
33,1952,27/06/2013,16:16:00,20,0,1,active,nan,0,44.95238095238095
34,1953,27/06/2013,16:16:30,28,0,1,active,nan,0,44.95238095238095
35,1954,27/06/2013,16:17:00,30,0,1,active,nan,0,38.523809523809526
36,1955,27/06/2013,16:17:30,40,0,1,active,nan,0,38.523809523809526
37,1956,27/06/2013,16:18:00,29,0,1,active,nan,0,38.476190476190474
38,1957,27/06/2013,16:18:30,21,0,1,active,nan,0,38.476190476190474
39,1958,27/06/2013,16:19:00,0,0,0,active,nan,0,36.57142857142857
40,1959,27/06/2013,16:19:30,35,0,1,active,nan,0,24.666666666666668
41,1960,27/06/2013,16:20:00,31,0,1,active,nan,0,18.857142857142858
42,1961,27/06/2013,16:20:30,29,0,1,active,nan,0,13.238095238095237
43,1962,27/06/2013,16:21:00,0,0,0,active,nan,0,12.80952380952381
44,1963,27/06/2013,16:21:30,0,0,0,active,nan,0,11.857142857142858
45,1964,27/06/2013,16:22:00,6,0,0,active,nan,0,10.523809523809524
46,1965,27/06/2013,16:22:30,0,0,0,active,nan,0,9.095238095238095
47,1966,27/06/2013,16:23:00,0,0,0,active,nan,0,7.190476190476191
48,1967,27/06/2013,16:23:30,0,0,0,active,nan,0,5.809523809523809
49,1968,27/06/2013,16:24:00,0,0,0,active,nan,0,4.809523809523809
50,1969,27/06/2013,16:24:30,0,0,0,active,nan,0,4.809523809523809
51,1970,27/06/2013,16:25:00,0,0,0,active,nan,0,3.142857142857143
52,1971,27/06/2013,16:25:30,0,0,0,active,nan,0,1.6666666666666667
53,1972,27/06/2013,16:26:00,0,0,0,active,nan,0,0.2857142857142857
54,1973,27/06/2013,16:26:30,0,0,0,active,nan,0,0.2857142857142857
55,1974,27/06/2013,16:27:00,0,0,0,active,nan,0,0.2857142857142857
56,1975,27/06/2013,16:27:30,0,0,0,active,nan,0,0.0
57,1976,27/06/2013,16:28:00,0,0,0,active,nan,0,0.0
58,1977,27/06/2013,16:28:30,0,0,0,active,nan,0,0.0
59,1978,27/06/2013,16:29:00,0,0,0,active,nan,0,0.0
60,1979,27/06/2013,16:29:30,0,0,0,active,nan,0,0.0
61,1980,27/06/2013,16:30:00,0,0,0,active,nan,0,0.0
62,1981,27/06/2013,16:30:30,0,0,0,active,nan,0,0.0
63,1982,27/06/2013,16:31:00,0,0,0,active,nan,0,0.0
64,1983,27/06/2013,16:31:30,0,0,0,active,nan,0,0.0
65,1984,27/06/2013,16:32:00,0,0,0,active,nan,0,0.0
66,1985,27/06/2013,16:32:30,0,0,0,active,nan,0,0.0
67,1986,27/06/2013,16:33:00,0,0,0,active,nan,0,0.0
68,1987,27/06/2013,16:33:30,0,0,0,active,nan,0,0.0
69,1988,27/06/2013,16:34:00,0,0,0,active,nan,0,0.0
70,1989,27/06/2013,16:34:30,0,0,0,active,nan,0,0.0
71,1990,27/06/2013,16:35:00,0,0,0,active,nan,0,0.0
72,1991,27/06/2013,16:35:30,0,0,0,active,nan,0,0.0
73,1992,27/06/2013,16:36:00,0,0,0,active,nan,0,0.0
74,1993,27/06/2013,16:36:30,0,0,0,active,nan,0,0.0
75,1994,27/06/2013,16:37:00,0,0,0,active,nan,0,0.0
76,1995,27/06/2013,16:37:30,0,0,0,active,nan,0,0.0
77,1996,27/06/2013,16:38:00,0,0,0,active,nan,0,0.0
78,1997,27/06/2013,16:38:30,0,0,0,active,nan,0,0.0
79,1998,27/06/2013,16:39:00,0,0,0,active,nan,0,0.0
80,1999,27/06/2013,16:39:30,0,0,0,active,nan,0,0.0
81,2000,27/06/2013,16:40:00,0,0,0,active,nan,0,0.0
82,2001,27/06/2013,16:40:30,0,0,0,active,nan,0,0.0
83,2002,27/06/2013,16:41:00,0,0,0,active,nan,0,0.0
84,2003,27/06/2013,16:41:30,0,0,0,active,nan,0,0.0
85,2004,27/06/2013,16:42:00,0,0,0,active,nan,0,0.0
86,2005,27/06/2013,16:42:30,0,0,0,active,nan,0,0.0
87,2006,27/06/2013,16:43:00,0,0,0,active,nan,0,0.0
88,2007,27/06/2013,16:43:30,0,0,0,active,nan,0,0.0
89,2008,27/06/2013,16:44:00,0,0,0,active,nan,0,0.0
90,2009,27/06/2013,16:44:30,0,0,0,active,nan,0,0.0
91,2010,27/06/2013,16:45:00,0,0,0,active,nan,0,0.0
92,2011,27/06/2013,16:45:30,0,0,0,active,nan,0,0.0
93,2012,27/06/2013,16:46:00,0,0,0,active,nan,0,0.0
94,2013,27/06/2013,16:46:30,0,0,0,active,nan,0,0.0
95,2014,27/06/2013,16:47:00,0,0,0,active,nan,0,0.0
96,2015,27/06/2013,16:47:30,0,0,0,active,nan,0,0.0
97,2016,27/06/2013,16:48:00,0,0,0,active,nan,0,0.0
98,2017,27/06/2013,16:48:30,0,0,0,active,nan,0,0.0
99,2018,27/06/2013,16:49:00,0,0,0,active,nan,0,0.0
100,2019,27/06/2013,16:49:30,0,0,0,active,nan,0,0.0
101,2020,27/06/2013,16:50:00,0,0,0,active,nan,0,0.0
102,2021,27/06/2013,16:50:30,0,0,0,active,nan,0,0.0
103,2022,27/06/2013,16:51:00,0,0,0,active,nan,0,0.0
104,2023,27/06/2013,16:51:30,0,0,0,active,nan,0,0.0
105,2024,27/06/2013,16:52:00,0,0,0,active,nan,0,0.0
106,2025,27/06/2013,16:52:30,0,0,0,active,nan,0,0.0
107,2026,27/06/2013,16:53:00,0,0,0,active,nan,0,0.0
108,2027,27/06/2013,16:53:30,0,0,0,active,nan,0,0.0
109,2028,27/06/2013,16:54:00,0,0,0,active,nan,0,0.0
110,2029,27/06/2013,16:54:30,0,0,0,active,nan,0,0.0
111,2030,27/06/2013,16:55:00,0,0,0,active,nan,0,0.0
112,2031,27/06/2013,16:55:30,0,0,0,active,nan,0,0.0
113,2032,27/06/2013,16:56:00,0,0,0,active,nan,0,0.0
